UserEmail,Role,Action,Module,IPAddress,Status,CreatedAt
test.faculty.ece.1@kathir.edu,faculty,EXPORT_REPORT,Reports,54.81.124.147,success,2026-04-28T20:37:42.493Z
test.student.aids.3@kathir.edu,student,LOGOUT,Auth,70.131.41.238,success,2026-05-07T19:53:08.646Z
test.student.aids.4@kathir.edu,student,QUERY_CREATED,HelpDesk,211.125.83.254,success,2026-03-15T08:36:46.495Z
test.student.eee.7@kathir.edu,student,MESSAGE_SENT,Messaging,217.33.109.253,success,2026-02-27T01:59:54.680Z
test.student.cse.5@kathir.edu,student,PROFILE_UPDATED,Profile,109.59.219.49,success,2026-06-13T01:04:47.476Z
test.faculty.aids.3@kathir.edu,faculty,LOGOUT,Auth,116.18.195.99,success,2026-02-06T11:32:20.188Z
test.student.eee.3@kathir.edu,student,QUERY_CREATED,HelpDesk,173.247.177.19,success,2026-02-13T00:53:26.889Z
test.faculty.ece.4@kathir.edu,faculty,CONVERSATION_CREATED,Messaging,149.87.205.5,success,2026-06-20T21:22:13.853Z
test.student.ece.3@kathir.edu,student,CONVERSATION_CREATED,Messaging,249.178.155.131,success,2026-05-16T06:34:40.498Z
test.student.ece.2@kathir.edu,student,SEARCH_PERFORMED,Search,157.222.97.240,success,2026-06-06T09:23:24.389Z
test.faculty.eee.2@kathir.edu,faculty,PASSWORD_CHANGED,Auth,45.175.202.136,success,2026-06-04T09:03:21.298Z
test.student.civil.3@kathir.edu,student,SEARCH_PERFORMED,Search,96.34.112.183,success,2026-01-12T00:19:18.817Z
test.faculty.cse.3@kathir.edu,faculty,PASSWORD_CHANGED,Auth,111.110.218.185,success,2026-02-28T10:22:17.851Z
test.faculty.aids.1@kathir.edu,faculty,MARKS_UPLOADED,Academics,53.66.25.128,success,2026-05-30T06:16:51.448Z
test.student.aids.2@kathir.edu,student,QUERY_CREATED,HelpDesk,33.162.211.240,success,2026-06-30T21:24:04.810Z
test.student.civil.8@kathir.edu,student,MESSAGE_SENT,Messaging,50.109.162.197,success,2026-05-23T21:49:08.675Z
test.student.ece.5@kathir.edu,student,MESSAGE_SENT,Messaging,242.124.148.123,success,2026-05-19T20:33:59.899Z
test.student.cse.2@kathir.edu,student,LOGOUT,Auth,156.166.174.149,success,2026-02-28T19:44:12.194Z
test.student.aids.8@kathir.edu,student,CONVERSATION_CREATED,Messaging,213.147.137.86,failed,2026-03-13T14:02:02.421Z
test.student.mech.8@kathir.edu,student,CONVERSATION_CREATED,Messaging,159.231.156.181,success,2026-05-03T11:19:07.500Z
test.student.civil.5@kathir.edu,student,PASSWORD_CHANGED,Auth,254.233.98.132,success,2026-03-28T00:39:09.856Z
test.student.ece.3@kathir.edu,student,PASSWORD_CHANGED,Auth,207.105.95.60,failed,2026-01-06T16:55:18.571Z
test.student.eee.7@kathir.edu,student,MESSAGE_SENT,Messaging,1.242.128.252,success,2026-03-12T20:19:11.187Z
test.student.cse.8@kathir.edu,student,LOGOUT,Auth,84.137.219.2,success,2026-05-29T01:18:09.658Z
test.faculty.mech.5@kathir.edu,faculty,LOGIN,Auth,4.36.109.45,failed,2026-04-14T14:49:07.794Z
test.student.aids.3@kathir.edu,student,PASSWORD_CHANGED,Auth,93.245.27.244,success,2026-02-17T05:31:42.710Z
test.student.ece.9@kathir.edu,student,PASSWORD_CHANGED,Auth,18.180.109.197,success,2026-02-03T16:50:28.509Z
test.student.civil.8@kathir.edu,student,LOGIN,Auth,254.121.42.129,success,2026-06-20T23:47:57.260Z
test.faculty.cse.1@kathir.edu,faculty,ACHIEVEMENT_ADDED,Achievements,158.216.156.147,success,2026-06-06T00:36:08.661Z
