UserEmail,Title,Type,Priority,IsRead,CreatedAt
test.student.ece.1@kathir.edu,"Internal Marks Updated",academic,medium,true,2026-05-30
test.student.ece.1@kathir.edu,"Welcome Notification",info,low,false,2026-04-11
test.student.ece.1@kathir.edu,"Placement Drive",info,medium,true,2026-04-03
test.student.ece.1@kathir.edu,"Profile Updated",info,medium,true,2026-05-31
test.student.ece.1@kathir.edu,"Query Resolved",query,medium,true,2026-04-26
test.student.ece.1@kathir.edu,"Exam Schedule Released",academic,medium,true,2026-04-25
test.student.ece.1@kathir.edu,"Welcome Notification",info,high,false,2026-05-13
test.student.ece.1@kathir.edu,"Query Submitted",query,medium,true,2026-05-02
test.student.ece.1@kathir.edu,"Achievement Added",achievement,medium,true,2026-05-19
test.student.ece.1@kathir.edu,"Fee Reminder",warning,medium,false,2026-06-04
test.student.ece.1@kathir.edu,"Welcome Notification",info,medium,true,2026-06-24
test.student.ece.2@kathir.edu,"Welcome Notification",info,high,false,2026-05-25
test.student.ece.2@kathir.edu,"Achievement Added",achievement,high,true,2026-05-30
test.student.ece.2@kathir.edu,"Exam Schedule Released",academic,medium,false,2026-04-25
test.student.ece.2@kathir.edu,"Scholarship Update",info,low,true,2026-04-12
test.student.ece.2@kathir.edu,"Welcome Notification",info,low,false,2026-05-23
test.student.ece.2@kathir.edu,"Internal Marks Updated",academic,low,false,2026-04-05
test.student.ece.2@kathir.edu,"Announcement Published",announcement,medium,true,2026-06-12
test.student.ece.2@kathir.edu,"Library Reminder",warning,high,false,2026-05-01
test.student.ece.2@kathir.edu,"Marks Published",academic,high,true,2026-04-29
test.student.ece.2@kathir.edu,"Scholarship Update",info,urgent,false,2026-06-23
test.student.ece.2@kathir.edu,"Internal Marks Updated",academic,medium,true,2026-05-06
test.student.ece.2@kathir.edu,"Holiday Circular",announcement,low,true,2026-04-15
test.student.ece.3@kathir.edu,"Holiday Circular",announcement,medium,true,2026-05-12
test.student.ece.3@kathir.edu,"Fee Reminder",warning,low,true,2026-04-03
test.student.ece.3@kathir.edu,"Scholarship Update",info,low,true,2026-04-30
test.student.ece.3@kathir.edu,"Achievement Added",achievement,medium,false,2026-06-26
test.student.ece.3@kathir.edu,"Welcome Notification",info,medium,true,2026-04-30
test.student.ece.3@kathir.edu,"Scholarship Update",info,urgent,false,2026-05-14
test.student.ece.3@kathir.edu,"Welcome Notification",info,low,true,2026-05-21
test.student.ece.3@kathir.edu,"Internal Marks Updated",academic,low,false,2026-06-05
test.student.ece.3@kathir.edu,"Welcome Notification",info,low,true,2026-04-12
test.student.ece.3@kathir.edu,"Query Submitted",query,high,true,2026-04-16
test.student.ece.3@kathir.edu,"Placement Drive",info,urgent,true,2026-05-09
test.student.ece.3@kathir.edu,"Announcement Published",announcement,low,true,2026-05-18
test.student.ece.3@kathir.edu,"Announcement Published",announcement,high,true,2026-04-23
test.student.ece.3@kathir.edu,"Attendance Below Threshold",warning,low,false,2026-05-24
test.student.ece.3@kathir.edu,"Hackathon Registration",info,medium,true,2026-05-05
test.student.ece.3@kathir.edu,"Attendance Below Threshold",warning,low,true,2026-04-11
test.student.ece.3@kathir.edu,"Scholarship Update",info,urgent,true,2026-04-13
test.student.ece.4@kathir.edu,"System Maintenance",system,low,false,2026-05-06
test.student.ece.4@kathir.edu,"Fee Reminder",warning,medium,true,2026-04-08
test.student.ece.4@kathir.edu,"Announcement Published",announcement,medium,true,2026-04-16
test.student.ece.4@kathir.edu,"Workshop Reminder",info,medium,true,2026-04-16
test.student.ece.4@kathir.edu,"Holiday Circular",announcement,medium,true,2026-06-19
test.student.ece.4@kathir.edu,"Holiday Circular",announcement,medium,false,2026-04-08
test.student.ece.4@kathir.edu,"Fee Reminder",warning,high,false,2026-06-28
test.student.ece.4@kathir.edu,"Achievement Added",achievement,medium,true,2026-07-01
test.student.ece.4@kathir.edu,"Attendance Updated",info,high,true,2026-06-18
test.student.ece.4@kathir.edu,"Library Reminder",warning,low,true,2026-05-09
test.student.ece.4@kathir.edu,"Hackathon Registration",info,high,true,2026-05-05
test.student.ece.4@kathir.edu,"Attendance Updated",info,medium,true,2026-04-14
